,dataset,pipeline,name,pca,adjusted_r2,r2,mae,mape,best_score,params
1,ExecutedMoreThan3Ktimes,8cat_more_res,dtr,72,0.9613553327618206,0.9614597778084103,977.3897908608022,0.49702732232118735,0.9599331790712319,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 10, 'pca__n_components': 72}"
2,ExecutedMoreThan3Ktimes,8cat_more_res,lasso,80,0.9460735615580407,0.9462193086889649,1793.751591988876,3.342652220363621,0.9454055227387893,"{'lasso__alpha': 0.76, 'pca__n_components': 80}"
3,ExecutedMoreThan3Ktimes,8cat_more_res,mlp,85,0.9682851135057488,0.9683708294151927,916.782848927033,0.4185400717977602,0.9671750227381308,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 85}"
4,ExecutedMoreThan3Ktimes,8cat_more_res,elasticnet,58,0.9452067926776564,0.9453548824271762,1811.006449282447,3.4360362488326257,0.9448000047202638,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 58}"
5,ExecutedMoreThan3Ktimes,8cat_more_res,svr,45,0.9447421816216522,0.9448915270767289,1817.9484028215743,3.41191923106494,0.9437948817162616,"{'pca__n_components': 45, 'svr__alpha': 0.0001, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ExecutedMoreThan3Ktimes,9cat_more_res,knn,55,0.9688474376799656,0.9689365289172731,870.5136387919927,0.23812427931388944,0.9680408119708677,"{'knn__n_neighbors': 4, 'pca__n_components': 55}"
1,ExecutedMoreThan3Ktimes,9cat_more_res,dtr,82,0.9675658247222735,0.9676585811631997,952.4146659427105,0.710628920238012,0.9632738050921347,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 82}"
2,ExecutedMoreThan3Ktimes,9cat_more_res,lasso,68,0.9515489878101082,0.9516875497871441,1745.5960138969585,3.409387715578207,0.9520386640272263,"{'lasso__alpha': 0.81, 'pca__n_components': 68}"
3,ExecutedMoreThan3Ktimes,9cat_more_res,mlp,85,0.9721705165608914,0.9722501043356544,858.1490673892024,0.3456450243518576,0.9705812561337779,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 85}"
4,ExecutedMoreThan3Ktimes,9cat_more_res,elasticnet,81,0.9499275921878094,0.9500707910913578,1757.8803309274747,3.4034551975599014,0.949752603696884,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.5, 'pca__n_components': 81}"
5,ExecutedMoreThan3Ktimes,9cat_more_res,svr,48,0.9405074183930038,0.9406775574541677,1967.7759191897317,3.6975360385171667,0.9398212757815876,"{'pca__n_components': 48, 'svr__alpha': 0.0601, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,ExecutedMoreThan3Ktimes,10cat_more_res,knn,63,0.9609371427572883,0.9610525390043283,966.9516042864775,0.24559992807189102,0.9605045574567912,"{'knn__n_neighbors': 2, 'pca__n_components': 63}"
1,ExecutedMoreThan3Ktimes,10cat_more_res,dtr,74,0.9605660251461304,0.9606825177179803,1085.8632323489521,0.8473698088684108,0.9587512500154045,"{'dtr__criterion': 'friedman_mse', 'dtr__max_depth': 10, 'pca__n_components': 74}"
2,ExecutedMoreThan3Ktimes,10cat_more_res,lasso,70,0.9549195650457214,0.955052737920822,1597.4585707875408,2.800145276360105,0.9544904643718359,"{'lasso__alpha': 0.6100000000000001, 'pca__n_components': 70}"
3,ExecutedMoreThan3Ktimes,10cat_more_res,mlp,85,0.970981120794206,0.9710668459559075,906.1098195537461,0.3869628521449888,0.9665600126352036,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 85}"
4,ExecutedMoreThan3Ktimes,10cat_more_res,elasticnet,62,0.9513632606712598,0.9515069392852415,1707.2761821660386,3.2527108996364165,0.9503703747508727,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.0, 'pca__n_components': 62}"
5,ExecutedMoreThan3Ktimes,10cat_more_res,svr,49,0.9496311747689564,0.9497799701671876,1790.1002373065419,3.728742622941677,0.948508108205567,"{'pca__n_components': 49, 'svr__alpha': 0.15009999999999998, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,ExecutedMoreThan3Ktimes,11cat_more_res,knn,64,0.9644137934878311,0.9645222743813471,901.1645140001885,0.25125609059611304,0.9632427340086545,"{'knn__n_neighbors': 2, 'pca__n_components': 64}"
1,ExecutedMoreThan3Ktimes,11cat_more_res,dtr,89,0.9651995388815192,0.9653056245109501,949.5844789252524,0.6158068321965636,0.9609049855814908,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 89}"
2,ExecutedMoreThan3Ktimes,11cat_more_res,lasso,93,0.9593600842877655,0.9594839708944307,1468.172066119249,2.76882554069815,0.958209285986255,"{'lasso__alpha': 0.6100000000000001, 'pca__n_components': 93}"
3,ExecutedMoreThan3Ktimes,11cat_more_res,mlp,88,0.9735427991333365,0.9736234511912896,836.6836169576055,0.4479013697563318,0.9691231458044418,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 88}"
4,ExecutedMoreThan3Ktimes,11cat_more_res,elasticnet,75,0.9567603810538508,0.9568921925886646,1540.1522978669439,3.1223181133069193,0.9548654401552032,"{'elasticnet__alpha': 0.01, 'elasticnet__l1_ratio': 0.4, 'pca__n_components': 75}"
5,ExecutedMoreThan3Ktimes,11cat_more_res,svr,50,0.9497254811537739,0.9498787378579877,1771.959374133062,4.045801050491186,0.9473063572582738,"{'pca__n_components': 50, 'svr__alpha': 0.0101, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'elasticnet'}"
0,All,continuous_more_res,knn,54,0.874769899463538,0.8750811186486547,3672.4098582934475,0.35223484045419434,0.49307585103160906,"{'knn__n_neighbors': 7, 'pca__n_components': 54}"
1,All,continuous_more_res,dtr,78,0.974004730155796,0.9740693330480971,2162.0676217850832,0.22884028293203396,0.8979682372781432,"{'dtr__criterion': 'mae', 'dtr__max_depth': 15, 'pca__n_components': 78}"
2,All,continuous_more_res,lasso,54,0.5614202603353327,0.5625102093859395,17764.58525034673,26.13925841349641,0.5965567645231648,"{'lasso__alpha': 0.66, 'pca__n_components': 54}"
3,All,continuous_more_res,mlp,54,0.8333032511963464,0.8337175224147039,8199.25994607512,5.573863333266437,0.12800056281661337,"{'mlp__activation': 'relu', 'mlp__hidden_layer_sizes': (100, 50), 'pca__n_components': 54}"
4,All,continuous_more_res,elasticnet,81,0.1000971446435649,0.10233356409965766,27349.581690917796,61.69303500905513,0.1197609772321015,"{'elasticnet__alpha': 0.46, 'elasticnet__l1_ratio': 0.9, 'pca__n_components': 81}"
5,All,continuous_more_res,svr,38,-0.5189974796620094,-0.5152224993993606,102670.67063855409,324.30777282943603,0.07527394526332848,"{'pca__n_components': 38, 'svr__alpha': 0.1701, 'svr__loss': 'squared_loss', 'svr__max_iter': 10000, 'svr__penalty': 'l1'}"
0,All,4cat_more_res,knn,56,0.8857719479016964,0.8861242291570448,3778.614489455772,0.4307834435809307,0.7582706998877504,"{'knn__n_neighbors': 3, 'pca__n_components': 56}"
1,All,4cat_more_res,dtr,87,0.9817729194478453,0.9818291320742562,2848.0953289056747,1.1924123352563487,0.9225498089198847,"{'dtr__criterion': 'mse', 'dtr__max_depth': 10, 'pca__n_components': 87}"
