,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
10562,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,22162784256,11196231680,3248586752,30110429184,2768896,6639235072,1835032576,8477036544,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.9578454332552693,0.9601873536299766,0.05620608899297424,0.0702576112412178,0.9578454332552693,0.8899297423887588,283070.0
6484,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,7353819136,9470283776,1208143872,15615959040,103264256,8055291904,488833024,8647389184,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,0.23185011709601874,0.23185011709601874,0.7939110070257611,0.8594847775175645,0.6018735362997658,0.8524590163934427,100890.0
80898,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,12945735680,3878367232,1151995904,15672107008,104775680,2685526016,350117888,3140419584,0,0,0,23.520000000000003,3.92,110.0,81848584000,13641430666.666666,0.32786885245901637,0.33489461358313816,0.5925058548009368,0.8571428571428571,0.32552693208430916,0.6276346604215457,112128.0
35539,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824840192,11858612224,4966227968,1178480640,15646359552,229543936,3487432704,494768128,4211744768,0,0,0,19.6,3.92,110.0,68210772000,13642154400.0,0.3629976580796253,0.3723653395784543,0.6206088992974239,0.7540983606557377,0.2388758782201405,0.23185011709601874,119378.0
74808,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,3.1,4,2,1,16824090624,7170953216,9653137408,1437159424,15386931200,336281600,7689203712,594984960,8620470272,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.117096018735363,0.11241217798594848,0.7189695550351288,0.667447306791569,0.30679156908665106,0.297423887587822,85954.0
75035,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824102912,11654033408,5170069504,995950592,15828152320,97476608,4149321728,320970752,4567769088,0,0,0,13.69,3.4225,110.0,47131800000,11782950000.0,0.585480093676815,0.5831381733021077,0.25995316159250587,0.22716627634660422,0.8665105386416861,0.8618266978922716,155281.0
21565,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,10766876672,6057226240,1503002624,15321100288,310185984,3835834368,890937344,5036957696,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.5175644028103045,0.5105386416861827,0.7435597189695551,0.5480093676814988,0.6159250585480094,0.20374707259953162,133251.0
51053,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,10785538048,6038564864,1492537344,15331565568,310124544,3832893440,884834304,5027852288,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.5128805620608899,0.5081967213114754,0.7939110070257611,0.5409836065573771,0.5901639344262295,0.2927400468384075,132873.0
28205,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,6941282304,1315917824,822415360,7434784768,454656,584331264,186757120,771543040,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.6791569086651055,0.6814988290398126,0.059718969555035126,0.2903981264637002,0.00702576112412178,0.00234192037470726,187861.0
27731,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4186501120,4070699008,865345536,7391854592,458752,3302858752,240365568,3543683072,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.7494145199063231,0.7494145199063231,0.02576112412177986,0.2927400468384075,0.042154566744730684,0.01639344262295082,197795.0
74651,soykb,238.0,gatk-wrapper,11,11,1,realign_target_creator,AMD,EPYC 7B12,2.25,4,2,1,16824102912,12074930176,4749172736,1726435328,15097667584,287637504,2743660544,464216064,3495514112,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.9227166276346604,0.9063231850117096,0.00468384074941452,0.021077283372365342,0.8477751756440282,0.5339578454332553,246526.0
15202,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,8,4,1,33359015936,19957411840,13401604096,5288214528,28070801408,2768896,6699548672,1923710976,8626028544,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.3911007025761124,0.3864168618266979,0.4332552693208431,0.5152224824355972,0.765807962529274,0.9789227166276346,122134.0
50996,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,16824102912,10217156608,6606946304,1296039936,15528062976,318296064,4538912768,929157120,5786365952,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.4824355971896956,0.468384074941452,0.8395784543325527,0.5386416861826698,0.6814988290398126,0.3231850117096019,128104.0
18573,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4905463808,3351736320,741490688,7515709440,2768896,2673721344,320843776,2997334016,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.6112412177985949,0.6135831381733021,0.13348946135831383,0.42857142857142855,0.3583138173302107,0.42622950819672134,175966.0
27179,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,15767138304,9386225664,6380912640,2631909376,13135228928,89313280,3692118016,339394560,4120825856,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.5995316159250585,0.594847775175644,0.4098360655737705,0.4590163934426229,0.8032786885245902,0.7447306791569086,165361.0
73656,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,9252360192,7571742720,2340163584,14483939328,103141376,5153030144,359469056,5615640576,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.8337236533957845,0.819672131147541,0.47658079625292743,0.1756440281030445,0.8805620608899298,0.2740046838407494,220014.0
6689,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824086528,10615062528,6209024000,1006837760,15817248768,87064576,5175468032,318853120,5581385728,0,0,0,15.68,3.92,110.0,54565728000,13641432000.0,0.1451990632318501,0.1451990632318501,0.8981264637002342,0.8805620608899298,0.43793911007025765,0.5913348946135831,89029.0
10332,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8175M,2.5,8,4,1,33359015936,18742833152,14616182784,6556835840,26802180096,2768896,6663196672,1883123712,8549089280,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.5316159250585479,0.5362997658079626,0.4449648711943794,0.5105386416861827,0.6065573770491803,0.9391100702576112,138340.0
27352,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,15767138304,7338029056,8429109248,3069239296,12697899008,104742912,5260890112,364437504,5730070528,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.9789227166276346,0.9789227166276346,0.19437939110070257,0.11007025761124123,0.3911007025761124,0.6791569086651055,317479.0
73918,soykb,134.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.8,4,2,1,16824102912,8668184576,8155918336,1400778752,15423324160,330989568,5979869184,856858624,7167717376,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.8173302107728336,0.8079625292740047,0.2459016393442623,0.18969555035128807,0.9250585480093677,0.6042154566744731,211523.0
8515,soykb,82.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon®,2.2,4,2,1,15767138304,4829130752,10938007552,1353797632,14413340672,309096448,8919502848,775983104,10004582400,0,0,0,23.520000000000003,3.92,110.0,77133080000,12855513333.333334,0.45667447306791564,0.4800936768149883,0.9297423887587821,0.8735362997658079,0.17330210772833723,0.7681498829039812,128985.0
27818,soykb,446.0,gatk-wrapper,11,11,1,realign_target_creator,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,4196515840,4060684288,858075136,7399124992,458752,3300761600,238403584,3539623936,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.639344262295082,0.639344262295082,0.01639344262295082,0.3044496487119438,0.021077283372365342,0.00936768149882904,179510.0
