,workflowName,size,executable,args,inputs,outputs,name,cpu.manufacturer,cpu.brand,cpu.speed,cpu.cores,cpu.physicalCores,cpu.processors,mem.total,mem.free,mem.used,mem.active,mem.available,mem.buffers,mem.cached,mem.slab,mem.buffcache,mem.swaptotal,mem.swapused,mem.swapfree,total_cpus,avg_cpus,avg_pods,total_ram_available,average_ram_available,read_sum,write_sum,cpu_max,cpu_mean,memory_mean,memory_max,execTimeMs
55283,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,11864342528,3902795776,1224994816,14542143488,276172800,2357305344,440508416,3073986560,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.240625,0.296875,0.296875,0.296875,0.621875,0.378125,205.0
57793,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon®,2.8,4,4,1,16824102912,7512416256,9311686656,1558630400,15265472512,332414976,6951837696,931667968,8215920640,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.8125,0.8125,0.64375,0.7125,0.5375,0.6,16817.0
24726,montage2,1.0,mAdd,4,436,2,mAdd,AMD,EPYC 7B12,2.25,4,4,1,16824102912,12857122816,3966980096,1427537920,15396564992,343298048,1744883712,911974400,3000156160,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.95,0.8875,0.65625,0.625,0.23125,0.5125,106512.0
61989,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.8,4,4,1,16824102912,13008146432,3815956480,1253969920,15570132992,282492928,2180145152,509431808,2972069888,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.146875,0.296875,0.296875,0.296875,0.75625,0.73125,1822.0
19398,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,2,2,1,8257200128,4175126528,4082073600,1040523264,7216676864,2768896,2809016320,715513856,3527299072,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.025,0.296875,0.296875,0.296875,0.33125,0.225,650.0
20016,montage,2.0,mAdd,4,616,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,2,1,1,8257200128,784543744,7472656384,1080045568,7177154560,2768896,6102769664,805957632,6911496192,0,0,0,7.72,1.93,30.5,25340644000,6335161000.0,0.89375,0.9125,0.803125,0.9,0.9125,0.93125,14574.0
35864,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,2.8,4,4,1,16824102912,12270874624,4553228288,1192177664,15631925248,286355456,2966396928,495439872,3748192256,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.09375,0.296875,0.296875,0.296875,0.2375,0.19375,143.0
40548,montage2,0.25,mAdd,4,62,2,mAdd,AMD,EPYC 7B12,2.25,4,4,1,16824102912,11727249408,5096853504,1159680000,15664422912,282804224,3523207168,539848704,4345860096,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.415625,0.296875,0.296875,0.296875,0.03125,0.03125,822.0
13828,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon® Platinum 8259CL,2.5,8,8,1,33359015936,28130631680,5228384256,1351639040,32007376896,2768896,3643863040,809287680,4455919616,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.415625,0.296875,0.296875,0.296875,0.99375,0.90625,682.0
67669,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,11969302528,3797835776,1228939264,14538199040,288104448,2184286208,497217536,2969608192,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.415625,0.296875,0.296875,0.296875,0.75,0.725,1360.0
55263,montage2,0.01,mAdd,4,6,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,12103958528,3663179776,1204105216,14563033088,263512064,2166460416,420831232,2850803712,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.240625,0.296875,0.296875,0.296875,0.8625,0.84375,209.0
67441,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,15767138304,11975630848,3791507456,1227792384,14539345920,287940608,2182639616,494174208,2964754432,0,0,0,12.7,3.175,110.0,40992952000,10248238000.0,0.415625,0.296875,0.296875,0.296875,0.63125,0.3875,1461.0
33000,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon®,2.8,4,4,1,16824102912,2934976512,13889126400,1496850432,15327252480,333803520,11444568064,1134231552,12912603136,0,0,0,15.68,3.92,110.0,54565744000,13641436000.0,0.6875,0.675,0.93125,0.96875,0.4125,0.59375,7932.0
21694,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,2.2,4,4,1,16824102912,12966252544,3857850368,1222201344,15601901568,317104128,2200993792,521637888,3039735808,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.7875,0.7625,725.0
8331,montage,1.0,mAdd,4,202,2,mAdd,Intel®,Xeon®,2.8,4,2,1,16824102912,14149677056,2674425856,1139212288,15684890624,126455808,1516261376,311578624,1954295808,0,0,0,12.7,3.175,110.0,43822280000,10955570000.0,0.7125,0.775,0.6625,0.64375,0.525,0.70625,8400.0
75894,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon®,2.2,4,4,1,16824102912,5112971264,11711131648,1418166272,15405936640,309223424,9483894784,957685760,10750803968,0,0,0,23.520000000000003,3.92,110.0,81848616000,13641436000.0,0.7,0.69375,0.965625,0.99375,0.6375,0.54375,7976.0
54307,montage2,0.25,mAdd,4,62,2,mAdd,Intel®,Xeon®,3.1,4,4,1,16824090624,9626152960,7197937664,1281134592,15542956032,337252352,5324931072,669388800,6331572224,0,0,0,19.6,3.92,110.0,68207180000,13641436000.0,0.415625,0.296875,0.296875,0.296875,0.475,0.29375,529.0
713,montage2,1.0,mAdd,4,436,2,mAdd,Intel®,Xeon® Platinum 8175M,2.5,8,8,1,33359015936,26662055936,6696960000,2312085504,31046930432,2768896,2911870976,2306244608,5220884480,0,0,0,17.75,5.916666666666667,44.333333333333336,66543572000,22181190666.666668,0.83125,0.83125,0.625,0.6625,0.64375,0.69375,16718.0
37078,montage2,0.25,mAdd,4,62,2,mAdd,AMD,EPYC 7B12,2.25,4,4,1,16824102912,11227615232,5596487680,1436209152,15387893760,334274560,3360935936,884625408,4579835904,0,0,0,13.69,3.4225,110.0,47131832000,11782958000.0,0.415625,0.296875,0.296875,0.296875,0.15,0.14375,880.0
